Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_243_588,VSS,Metal1,353.3120,979.4520,0.000000
FILLER_243_582,VSS,Metal1,346.3600,980.0000,0.000000
FILLER_243_580,VSS,Metal1,345.5200,980.0000,0.000000
FILLER_243_577,VSS,Metal1,343.5600,980.0000,0.000000
FILLER_243_575,VSS,Metal1,342.7200,980.0000,0.000000
FILLER_243_566,VSS,Metal1,337.4000,980.0000,0.000000
FILLER_243_564,VSS,Metal1,336.5600,980.0000,0.000000
FILLER_243_560,VSS,Metal1,334.5000,979.6510,0.000000
FILLER_243_555,VSS,Metal1,331.2400,980.0000,0.000000
FILLER_243_551,VSS,Metal1,329.4600,979.6510,0.000000
FILLER_243_542,VSS,Metal1,324.2400,980.0000,0.000000
FILLER_243_526,VSS,Metal1,318.5920,979.4520,0.000000
FILLER_243_516,VSS,Metal1,309.6800,980.0000,0.000000
FILLER_243_512,VSS,Metal1,307.6200,979.6510,0.000000
FILLER_243_509,VSS,Metal1,305.4800,980.0000,0.000000
FILLER_243_488,VSS,Metal1,293.7200,980.0000,0.000000
FILLER_243_486,VSS,Metal1,292.8800,980.0000,0.000000
FILLER_243_478,VSS,Metal1,289.5730,979.5380,0.000000
FILLER_243_472,VSS,Metal1,285.2200,979.6510,0.000000
FILLER_243_456,VSS,Metal1,279.3920,979.4520,0.000000
FILLER_243_440,VSS,Metal1,267.1200,980.0000,0.000000
FILLER_243_424,VSS,Metal1,261.4720,979.4520,0.000000
FILLER_243_414,VSS,Metal1,252.5600,980.0000,0.000000
FILLER_243_410,VSS,Metal1,250.5000,979.6510,0.000000
FILLER_243_407,VSS,Metal1,248.3600,980.0000,0.000000
FILLER_243_399,VSS,Metal1,245.3330,979.5380,0.000000
FILLER_243_390,VSS,Metal1,238.8400,980.0000,0.000000
FILLER_243_388,VSS,Metal1,238.0000,980.0000,0.000000
FILLER_243_384,VSS,Metal1,235.9400,979.6510,0.000000
FILLER_243_376,VSS,Metal1,232.4530,979.5380,0.000000
FILLER_243_367,VSS,Metal1,226.2400,980.0000,0.000000
FILLER_243_363,VSS,Metal1,224.1800,979.6510,0.000000
FILLER_243_347,VSS,Metal1,218.3520,979.4520,0.000000
FILLER_243_336,VSS,Metal1,209.0600,979.6510,0.000000
FILLER_243_320,VSS,Metal1,203.2320,979.4520,0.000000
FILLER_243_308,VSS,Metal1,193.3800,979.6510,0.000000
FILLER_243_302,VSS,Metal1,190.0200,979.6510,0.000000
FILLER_243_294,VSS,Metal1,186.5330,979.5380,0.000000
FILLER_243_278,VSS,Metal1,179.7120,979.4520,0.000000
FILLER_243_271,VSS,Metal1,172.2000,980.0000,0.000000
FILLER_243_240,VSS,Metal1,155.1200,980.0000,0.000000
FILLER_243_236,VSS,Metal1,152.8800,980.0000,0.000000
FILLER_243_220,VSS,Metal1,147.2320,979.4520,0.000000
FILLER_243_214,VSS,Metal1,140.2800,980.0000,0.000000
FILLER_243_206,VSS,Metal1,137.2530,979.5380,0.000000
FILLER_243_203,VSS,Metal1,134.1200,980.0000,0.000000
FILLER_243_199,VSS,Metal1,132.3400,979.6510,0.000000
FILLER_243_192,VSS,Metal1,128.2400,980.0000,0.000000
FILLER_243_188,VSS,Metal1,126.1800,979.6510,0.000000
FILLER_243_172,VSS,Metal1,120.3520,979.4520,0.000000
FILLER_243_169,VSS,Metal1,115.0800,980.0000,0.000000
FILLER_243_163,VSS,Metal1,111.7200,980.0000,0.000000
FILLER_243_159,VSS,Metal1,109.9400,979.6510,0.000000
FILLER_243_151,VSS,Metal1,106.4530,979.5380,0.000000
FILLER_243_138,VSS,Metal1,97.7200,980.0000,0.000000
FILLER_243_126,VSS,Metal1,91.0000,980.0000,0.000000
FILLER_243_124,VSS,Metal1,90.1600,980.0000,0.000000
FILLER_243_120,VSS,Metal1,88.1000,979.6510,0.000000
FILLER_243_104,VSS,Metal1,82.2720,979.4520,0.000000
FILLER_243_100,VSS,Metal1,76.7200,980.0000,0.000000
FILLER_243_96,VSS,Metal1,74.6600,979.6510,0.000000
FILLER_243_87,VSS,Metal1,69.1600,980.0000,0.000000
FILLER_243_83,VSS,Metal1,67.3800,979.6510,0.000000
FILLER_243_75,VSS,Metal1,63.8930,979.5380,0.000000
FILLER_243_67,VSS,Metal1,57.9600,980.0000,0.000000
FILLER_243_51,VSS,Metal1,52.5920,979.4520,0.000000
FILLER_243_42,VSS,Metal1,43.9600,980.0000,0.000000
FILLER_243_40,VSS,Metal1,43.1200,980.0000,0.000000
FILLER_243_36,VSS,Metal1,41.0600,979.6510,0.000000
FILLER_243_33,VSS,Metal1,38.9200,980.0000,0.000000
FILLER_243_31,VSS,Metal1,38.0800,980.0000,0.000000
FILLER_243_15,VSS,Metal1,32.4320,979.4520,0.000000
FILLER_243_6,VSS,Metal1,23.8000,980.0000,0.000000
FILLER_243_2,VSS,Metal1,22.0200,979.6510,0.000000
FILLER_242_1710,VSS,Metal1,978.3200,972.1600,0.000004
FILLER_242_1702,VSS,Metal1,975.0130,972.6215,0.000004
FILLER_242_1685,VSS,Metal1,964.0400,972.1600,0.000004
FILLER_242_1653,VSS,Metal1,946.1200,972.1600,0.000004
FILLER_242_1651,VSS,Metal1,945.2800,972.1600,0.000004
FILLER_242_1647,VSS,Metal1,943.2200,972.5085,0.000004
FILLER_242_1620,VSS,Metal1,927.9200,972.1600,0.000004
FILLER_242_1616,VSS,Metal1,925.8600,972.5085,0.000004
FILLER_242_1551,VSS,Metal1,889.0000,972.1600,0.000006
FILLER_242_1434,VSS,Metal1,823.4800,972.1600,0.000008
FILLER_242_1430,VSS,Metal1,821.7000,972.5085,0.000008
FILLER_242_1422,VSS,Metal1,818.2130,972.6215,0.000008
FILLER_242_1371,VSS,Metal1,788.4800,972.1600,0.000008
FILLER_242_1367,VSS,Metal1,786.4200,972.5085,0.000008
FILLER_242_1190,VSS,Metal1,686.8400,972.1600,0.000005
FILLER_242_1165,VSS,Metal1,672.8400,972.1600,0.000005
FILLER_242_1157,VSS,Metal1,669.8130,972.6215,0.000005
FILLER_242_1154,VSS,Metal1,666.6800,972.1600,0.000005
FILLER_242_1152,VSS,Metal1,665.8400,972.1600,0.000005
FILLER_242_1116,VSS,Metal1,645.4000,972.1600,0.000004
FILLER_242_1093,VSS,Metal1,632.5200,972.1600,0.000004
FILLER_242_1091,VSS,Metal1,631.6800,972.1600,0.000004
FILLER_242_1087,VSS,Metal1,629.6200,972.5085,0.000004
FILLER_242_1083,VSS,Metal1,627.2000,972.1600,0.000004
FILLER_242_1058,VSS,Metal1,613.2000,972.1600,0.000004
FILLER_242_1022,VSS,Metal1,592.7600,972.1600,0.000004
FILLER_242_1001,VSS,Metal1,581.2800,972.1600,0.000005
FILLER_242_997,VSS,Metal1,579.2200,972.5085,0.000005
FILLER_242_944,VSS,Metal1,549.0800,972.1600,0.000006
FILLER_242_942,VSS,Metal1,548.2400,972.1600,0.000006
FILLER_242_929,VSS,Metal1,542.1330,972.6215,0.000006
FILLER_242_892,VSS,Metal1,519.9600,972.1600,0.000007
FILLER_242_890,VSS,Metal1,519.1200,972.1600,0.000007
FILLER_242_728,VSS,Metal1,428.4000,972.1600,0.000006
FILLER_242_692,VSS,Metal1,408.2400,972.1600,0.000006
FILLER_242_683,VSS,Metal1,402.9200,972.1600,0.000006
FILLER_242_681,VSS,Metal1,402.0800,972.1600,0.000006
FILLER_242_667,VSS,Metal1,393.9600,972.1600,0.000006
FILLER_242_653,VSS,Metal1,386.5800,972.5085,0.000006
FILLER_242_606,VSS,Metal1,360.2600,972.5085,0.000006
FILLER_242_597,VSS,Metal1,354.7600,972.1600,0.000006
FILLER_242_586,VSS,Metal1,348.6000,972.1600,0.000004
FILLER_242_584,VSS,Metal1,347.7600,972.1600,0.000004
FILLER_242_536,VSS,Metal1,320.8800,972.1600,0.000005
FILLER_242_532,VSS,Metal1,318.8200,972.5085,0.000005
FILLER_242_524,VSS,Metal1,313.8800,972.1600,0.000005
FILLER_242_515,VSS,Metal1,308.8400,972.1600,0.000005
