Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_271_784,VDD,Metal1,468.8355,1086.6085,4.986663
FILLER_271_750,VDD,Metal1,449.7955,1086.6085,4.986663
FILLER_271_747,VDD,Metal1,438.7600,1085.8400,4.986665
FILLER_271_736,VDD,Metal1,432.6000,1085.8400,4.986666
FILLER_271_732,VDD,Metal1,431.5800,1086.2725,4.986666
FILLER_271_716,VDD,Metal1,426.2080,1086.5320,4.986666
FILLER_271_682,VDD,Metal1,411.7155,1086.6085,4.986669
FILLER_271_666,VDD,Metal1,393.4000,1085.8400,4.986675
FILLER_271_664,VDD,Metal1,392.5600,1085.8400,4.986676
FILLER_271_648,VDD,Metal1,388.1280,1086.5320,4.986676
FILLER_271_644,VDD,Metal1,381.3600,1085.8400,4.986676
FILLER_271_636,VDD,Metal1,379.0665,1086.4165,4.986676
FILLER_271_624,VDD,Metal1,371.1000,1086.2725,4.986677
FILLER_271_614,VDD,Metal1,364.5600,1085.8400,4.986678
FILLER_271_606,VDD,Metal1,359.8000,1085.8400,4.986688
FILLER_271_604,VDD,Metal1,358.9600,1085.8400,4.986688
FILLER_271_596,VDD,Metal1,356.6665,1086.4165,4.986688
FILLER_271_580,VDD,Metal1,350.0480,1086.5320,4.986689
FILLER_271_570,VDD,Metal1,342.1065,1086.4165,4.986692
FILLER_271_546,VDD,Metal1,326.4800,1085.8400,4.986694
FILLER_271_543,VDD,Metal1,324.5200,1085.8400,4.986695
FILLER_271_541,VDD,Metal1,323.6800,1085.8400,4.986695
FILLER_271_537,VDD,Metal1,322.3800,1086.2725,4.986695
FILLER_271_528,VDD,Metal1,316.1200,1085.8400,4.986696
FILLER_271_524,VDD,Metal1,315.1000,1086.2725,4.986697
FILLER_271_516,VDD,Metal1,311.8665,1086.4165,4.986697
FILLER_271_508,VDD,Metal1,305.2000,1085.8400,4.986704
FILLER_271_487,VDD,Metal1,293.1600,1085.8400,4.986705
FILLER_271_478,VDD,Metal1,288.1200,1085.8400,4.986706
FILLER_271_460,VDD,Metal1,280.5065,1086.4165,4.986706
FILLER_271_444,VDD,Metal1,273.8880,1086.5320,4.986707
FILLER_271_438,VDD,Metal1,266.9400,1086.2725,4.986707
FILLER_271_422,VDD,Metal1,261.5680,1086.5320,4.986707
FILLER_271_410,VDD,Metal1,251.2600,1086.2725,4.986707
FILLER_271_406,VDD,Metal1,248.0800,1085.8400,4.986708
FILLER_271_398,VDD,Metal1,245.7865,1086.4165,4.986708
FILLER_271_376,VDD,Metal1,232.2200,1086.2725,4.986723
FILLER_271_373,VDD,Metal1,229.3200,1085.8400,4.986723
FILLER_271_369,VDD,Metal1,228.3000,1086.2725,4.986723
FILLER_271_358,VDD,Metal1,222.1400,1086.2725,4.986724
FILLER_271_342,VDD,Metal1,216.7680,1086.5320,4.986724
FILLER_271_339,VDD,Metal1,210.2800,1085.8400,4.986724
FILLER_271_323,VDD,Metal1,206.1280,1086.5320,4.986724
FILLER_271_315,VDD,Metal1,198.0600,1086.2725,4.986725
FILLER_271_310,VDD,Metal1,194.0400,1085.8400,4.986728
FILLER_271_308,VDD,Metal1,193.2000,1085.8400,4.986728
